format	2
image	atlas.webp
cell_size	16	24
world_cell_aspect	1.5
default_zoom	1.5
placeholder	1	1	16	24
worldmap_tile_color	world_deep_scar	48	31	36	255
worldmap_tile_color	world_forest	34	82	44	255
worldmap_tile_color	world_high_mountain	135	138	130	255
worldmap_tile_color	world_hills	112	92	57	255
worldmap_tile_color	world_mountain	86	84	82	255
worldmap_tile_color	world_plains	87	105	58	255
worldmap_tile_color	world_road	135	103	58	255
worldmap_tile_color	world_scar	85	43	45	255
worldmap_tile_color	world_shore	143	124	78	255
worldmap_tile_color	world_swamp	45	75	67	255
worldmap_tile_color	world_water	35	67	92	255
asset	effects/effect_acid.png	19	1	16	24
asset	effects/effect_acid_trap.png	37	1	16	24
asset	effects/effect_alarm_trap.png	55	1	16	24
asset	effects/effect_arrow_trap.png	73	1	16	24
asset	effects/effect_bear_trap.png	91	1	16	24
asset	effects/effect_blood.png	109	1	16	24
asset	effects/effect_caltrops.png	127	1	16	24
asset	effects/effect_cloudkill.png	145	1	16	24
asset	effects/effect_explosive_trap.png	163	1	16	24
asset	effects/effect_falling_rock_trap.png	181	1	16	24
asset	effects/effect_fire.png	199	1	16	24
asset	effects/effect_fog.png	217	1	16	24
asset	effects/effect_force_wall.png	235	1	16	24
asset	effects/effect_ice.png	253	1	16	24
asset	effects/effect_illusion.png	271	1	16	24
asset	effects/effect_light_trap.png	289	1	16	24
asset	effects/effect_maze.png	307	1	16	24
asset	effects/effect_oil.png	325	1	16	24
asset	effects/effect_pit_trap.png	343	1	16	24
asset	effects/effect_poison_needle_trap.png	361	1	16	24
asset	effects/effect_rope.png	379	1	16	24
asset	effects/effect_spear_trap.png	397	1	16	24
asset	effects/effect_target_blocked_endpoint.png	415	1	16	24
asset	effects/effect_target_blocked_node.png	433	1	16	24
asset	effects/effect_target_endpoint.png	451	1	16	24
asset	effects/effect_target_node.png	469	1	16	24
asset	effects/effect_water_trap.png	487	1	16	24
asset	effects/effect_web.png	505	1	16	24
asset	items/item_acid_flask.png	523	1	16	24
asset	items/item_amulet_of_health.png	541	1	16	24
asset	items/item_antidote.png	1	27	16	24
asset	items/item_arrow.png	19	27	16	24
asset	items/item_bandage.png	37	27	16	24
asset	items/item_bandit_corpse.png	55	27	16	24
asset	items/item_bastard_sword.png	73	27	16	24
asset	items/item_battle_axe.png	91	27	16	24
asset	items/item_bear_trap.png	109	27	16	24
